"OPEID","PELLID","NAME","State",,"Awards","Recipients"
"3255300","32553","FLORIDA GULF COAST UNIVERSITY","FL",2004,"2617060.5899999999","1082"
"3115500","31155","FLORIDA HOSPITAL COLLEGE OF HEALTH SCIENCES","FL",2004,"1025343","435"
"3618300","36183","FLORIDA INSTITUTE OF ANIMAL ARTS","FL",2004,"101982.24000000001","47"
"146900","1469","FLORIDA INSTITUTE OF TECHNOLOGY","FL",2004,"1436620.5","539"
"2329900","16483","FLORIDA INSTITUTE OF ULTRASOUND","FL",2004,"109648","45"
"963500","9635","FLORIDA INTERNATIONAL UNIVERSITY - UNIVERSITY PARK CAMPUS","FL",2004,"23582660.800000001","9421"
"148500","1485","FLORIDA KEYS COMMUNITY COLLEGE","FL",2004,"770144","401"
"148600","1486","FLORIDA MEMORIAL COLLEGE - MAIN CAMPUS","FL",2004,"5635559","1912"
"153400","1534","FLORIDA METROPOLITAN UNIVERSITY","FL",2004,"8115829","4051"
"814600","8146","FLORIDA METROPOLITAN UNIVERSITY","FL",2004,"4376153","2410"
"2599800","25998","FLORIDA METROPOLITAN UNIVERSITY","FL",2004,"5509866","3044"
"149900","7735","FLORIDA METROPOLITAN UNIVERSITY - ORLANDO NORTH","FL",2004,"10124756","5122"
"2547600","17069","FLORIDA NATIONAL COLLEGE","FL",2004,"5513078.8899999997","2402"
"148800","1488","FLORIDA SOUTHERN COLLEGE","FL",2004,"1780684","672"
"148900","1489","FLORIDA STATE UNIVERSITY","FL",2004,"18739608.18","7779"
"2218700","15670","FLORIDA TECHNICAL COLLEGE","FL",2004,"2430318","1056"
"2598200","25982","FLORIDA TECHNICAL COLLEGE OF JACKSONVILLE","FL",2004,"609954","263"
"2338400","16573","FT PIERCE BEAUTY ACADEMY","FL",2004,"598943.80000000005","450"
"2362100","16812","FULL SAIL REAL WORLD EDUCATION","FL",2004,"4879839","1906"
"2307400","16280","GEORGE STONE AREA VOCATIONAL TECHNICAL CENTER","FL",2004,"380483.64000000001","241"
"3079800","30798","GEORGE T BAKER AVIATION SCHOOL","FL",2004,"237540","101"
"2305700","16301","GULF COAST COLLEGE","FL",2004,"435073.42999999999","212"
"149000","1490","GULF COAST COMMUNITY COLLEGE","FL",2004,"4687831.8899999997","2168"
"2601600","15158","HENRY W. BREWSTER TECHNICAL CENTER","FL",2004,"197691.82000000001","137"
"2597100","25971","HERITAGE INSTITUTE","FL",2004,"381538","189"
"3035800","30358","HERITAGE INSTITUTE","FL",2004,"527735","271"
