"PELLID","Institution","State","Recipients","Awards"
"2885","Albany College Of Pharmacy","NY","147","326168"
"15936","Albany Schoharie Schenectady Saratoga Boces Practical Nursing Program","NY","31","91100"
"2668","Alfred University","NY","686","1613974.03"
"33583","Allen School","NY","881","1903331"
"10813","American Academy Mcallister Institute","NY","81","181240"
"7465","American Academy Of Dramatic Arts","NY","67","199540"
"33424","American Barber Institute","NY","77","139673"
"30310","American Center For Career Training","NY","400","835146.18000000005"
"16082","American Musical & Dramatic Academy","NY","188","416169.03000000003"
"7518","Apex Technical School","NY","1456","2996959"
"6435","Arnot Ogden Medical Center - School Of Radiologic Technology","NY","29","76184"
"17163","Art Institute Of New York City (The)","NY","1246","2493066.6600000001"
"30955","Asa Institute Of Business And Computer Technology","NY","3278","8106219"
"11208","Associated Beth Rivkah Schools","NY","75","263800"
"7372","Austin Beauty School","NY","81","147626"
"2671","Bard College","NY","262","673360.31000000006"
"2708","Barnard College","NY","417","1146036"
"7391","Beauty School Of Middletown","NY","113","222692"
"11830","Berk Trade & Business School","NY","135","253804"
"7421","Berkeley College","NY","333","742134"
"8556","Berkeley College","NY","1244","2949993.02"
"11192","Beth Hamedrash Shaarei Yosher Institute","NY","73","266312"
"11922","Beth Hatalmud Rabbinical College","NY","44","144000"
"14928","Boces Rensselaer School Of Practical Nursing","NY","49","152300"
"13029","Boricua College","NY","1263","3406676"
"14662","Bramson Ort College Main Campus-01","NY","853","2086625"
"14099","Briarcliffe College","NY","1341","2830624.8799999999"
"2862","Broome Community College","NY","2398","5021505.9100000001"
"14498","Broome Delaware Tioga Boces Program Of Practical Nursing","NY","22","30812.5"
"2678","Bryant & Stratton Business Institute","NY","1349","2983915.3900000001"
"12470","Bryant & Stratton Business Institute - Rochester","NY","649","1307929.8700000001"
"8276","Bryant & Stratton Business Institute - Syracuse-","NY","808","1768484.5"
"4749","Bryant & Stratton Business Institute-Albany","NY","362","755552.89000000001"
"15838","Buffalo Vocational Technical Center","NY","30","67846"
"17271","Business Informatics Center","NY","122","315768"
"31724","Caliber Training Institute","NY","1087","1873383"
"2681","Canisius College","NY","851","2012690"
"14122","Capri Cosmetology Learning Center","NY","59","98703.169999999998"
"14648","Cattaraugus/Allegany/Erie/Wyoming Boces","NY","84","167623.82999999999"
"2861","Cayuga County Community College - Suny Office Of Community College","NY","1178","2487706.23"
"14996","Cayuga Onondaga Boces Practical Nursing Program","NY","12","26478"
"2685","Cazenovia College","NY","381","979742.80000000005"
"4776","Central Yeshiva Tomchei Tmimim Lubavitz","NY","390","1374225"
"15050","Champlain Valley Educational Services","NY","16","39009"
"30962","Charles Stuart School","NY","12","27326"
"15345","Cheryl Fell'S School Of Business","NY","31","83767"
"34264","Chubb Institute (The)","NY","396","495807.15000000002"
"14760","Circle In The Square Theatre School","NY","11","19000"
"2686","City University Of New York Central Office","NY","83486","208604525.84999999"
"2699","Clarkson University","NY","702","1598140"
"6787","Clinton Community College","NY","774","1508598.1399999999"
"6443","Cochran School Of Nursing Andrus Pavilion St. John'S Riverside Hosp.","NY","40","94869"
"2701","Colgate University","NY","294","694195.5"
"2665","College Of Aeronautics","NY","824","2132572.8799999999"
"2703","College Of Mount Saint Vincent","NY","539","1537108"
"2704","College Of New Rochelle (The)","NY","5090","13346209.5"
"2705","College Of St Rose","NY","765","1810024"
"34513","Columbia Green Beauty School","NY","28","48875"
"2707","Columbia University In The City Of New York","NY","1023","2667976"
"30897","Computer Career Center","NY","854","1341534.75"
"7573","Concord Beauty School","NY","303","611945"
"2709","Concordia College","NY","183","434136.14000000001"
"26170","Continental School Of Beauty Culture","NY","123","222610.17999999999"
"7522","Continental School Of Beauty Culture","NY","420","831352.68000000005"
"2710","Cooper Union For The Advancement Of Science & Art (The)","NY","150","400936"
"15404","Cope Institute","NY","103","227790.88"
"2711","Cornell University","NY","2253","5722770"
"2863","Corning Community College - Suny Office Of Community Colleges","NY","1687","3322459"
"6445","Crouse  Hospital School Of Nursing","NY","43","91062"
"33803","Culinary Academy Of Long Island","NY","76","123385.77"
"7304","Culinary Institute Of America","NY","660","1653901.95"
"11614","Cvph Medical Center","NY","7","5270"
"2808","Daemen College","NY","571","1340672"
"14887","Dance Theatre Of Harlem","NY","6","13775"
"15131","Darkei Noam Rabbinical College","NY","13","42100"
"30816","Delaware Chenango Madison Otsego Boces","NY","68","145475"
"2713","Dominican College Of Blauvelt","NY","317","765641"
"2667","Dowling College","NY","902","2157906.9100000001"
"11915","Drake Business School","NY","136","202113"
"11916","Drake Business School","NY","417","772881.89000000001"
"11917","Drake School Of Manhattan","NY","430","879913.5"
"11918","Drake School Of The Bronx","NY","720","1448246.22"
"14530","Dutchess Boces School Of Practical Nursing","NY","53","116647"
"2864","Dutchess Community College","NY","1318","2543659"
"2712","D'Youville College","NY","385","946438"
"15375","Eastern Suffolk Boces","NY","93","185951.79999999999"
"15891","Ellis Hospital School Of Nursing","NY","21","51905"
"9043","Elmira Business Institute","NY","465","891847"
"2718","Elmira College","NY","402","830354"
"12557","Erie 1 Board Of Cooperative Educational Services","NY","80","194525"
"15777","Erie 2 - Chautauqua - Cattaraugus Boces","NY","76","111859.46000000001"
"10684","Erie Community College","NY","5058","11378538.960000001"
"2866","Fashion Institute Of Technology","NY","1944","4831601.8600000003"
"5066","Faxton-St.Luke'S School Of Radiography","NY","10","30612"
"7532","Finger Lakes Community College","NY","1479","3138522"
"12561","Five Towns College","NY","399","936687"
"2722","Fordham University - Rose Hill Campus","NY","1547","4114313.5"
"33283","Franklin Career Institute","NY","217","460445"
"25754","French Culinary Institute","NY","46","47642.279999999999"
"34044","Gamla College","NY","229","630487.5"
"6782","Genesee Community College","NY","1665","3564682.7999999998"
"31153","Genesee-Livingston-Steuben-Wyoming Boces","NY","25","71910.139999999999"
"15992","Global Business Institute","NY","668","1001925"
"17010","Globe Institute Of Technology","NY","606","1556852"
"32083","Grace Institute Of Business Technology","NY","418","784001.18999999994"
"14628","Hair Design Institute At Fifth Avenue","NY","118","259889.81"
"14654","Hamilton - Fulton - Montgomery Boces","NY","19","30267"
"2728","Hamilton College","NY","260","711550"
"33153","Harlem School Of Technology","NY","35","103600"
"2729","Hartwick College","NY","385","951467"
"15395","Helene Fuld Ccllege Of Nursing North General Hospital","NY","168","194955"
"14517","Herkimer County Boces Practical Nursing Program","NY","41","90416"
"2735","Hilbert College","NY","381","868129"
"2731","Hobart And William Smith Colleges","NY","394","995656"
"2732","Hofstra University","NY","2262","5559678"
"2734","Houghton College","NY","472","985584"
"2868","Hudson Valley Community College","NY","2909","5571801"
"15599","Hunter Business School","NY","270","567467"
"16195","Institute Of Audio Research","NY","297","454223"
"12107","Institute Of Design And Construction","NY","78","156900.19"
"8435","Interboro Institute","NY","2328","5396962.9199999999"
"2737","Iona College","NY","880","2149201.0499999998"
"7375","Island Drafting & Technical Institute","NY","148","360759.84999999998"
"2739","Ithaca College","NY","1065","2597899.8199999998"
"8495","Jamestown Business College","NY","333","742003"
"2869","Jamestown Community College","NY","1625","3406426"
"2870","Jefferson Community College","NY","1615","3111291.8999999999"
"10052","Jefferson Lewis Boces Program Of Practical Nursing","NY","72","157712.5"
"15466","Joffrey Ballet School, American Ballet Center","NY","7","18050"
"9578","Jon Louis School Of Beauty","NY","222","443101.83000000002"
"2742","Juilliard School (The)","NY","108","299722"
"11647","Katharine Gibbs School (The)","NY","853","1818380"
"7398","Katharine Gibbs School (The)","NY","4348","9780345.8699999992"
"10549","Kehilath Yakov Rabbinical Seminary","NY","78","287825"
"2744","Keuka College","NY","484","1121957.6499999999"
"15921","Kol Yaakov Torah Center","NY","17","57425"
"7466","Laboratory Institute Of Merchandising","NY","89","221473.88"
"2748","Le Moyne College","NY","736","1761899.6100000001"
"9284","Learning Institute For Beauty Sciences","NY","75","116622.5"
"7387","Learning Institute For Beauty Sciences","NY","145","252696.39000000001"
"7388","Learning Institute For Beauty Sciences","NY","138","271177"
"15331","Learning Institutes For Beauty Sciences","NY","602","1273123"
"35683","Leon Studio One School Of Hair Design & Career Training Center","NY","52","109867.25"
"34335","Lia Schorr Institute Of Cosmetic Skin Care Training","NY","11","9657"
"14514","Long Island Business Institute","NY","613","1394488"
"14321","Long Island College Hospital - School Of Nursing","NY","40","90282"
"2751","Long Island University","NY","6401","16940393.859999999"
"13026","Machzikei Hadath Rabbinical College","NY","111","386750"
"14890","Madison Oneida Boces Practical Nursing Program","NY","147","258338"
"7401","Mandl School","NY","789","1666986"
"2758","Manhattan College","NY","748","1959746.99"
"31933","Manhattan School Of Computer Technology","NY","130","227061"
"2759","Manhattan School Of Music","NY","74","221306"
"2760","Manhattanville College","NY","357","893095"
"2763","Maria College","NY","303","609911.39000000001"
"15230","Marion S Whelan School Of Practical Nursing Of Geneva General Hospital","NY","12","27769"
"2765","Marist College","NY","943","2139775.6099999999"
"15538","Marjon School Of Beauty Culture, Ltd.","NY","67","198250"
"2768","Marymount College","NY","370","940162"
"2769","Marymount Manhattan College","NY","652","1647204.3300000001"
"2777","Medaille College","NY","566","1229470.3600000001"
"12203","Memorial Hospital School Of Nursing","NY","36","66583"
"14886","Merce Cunningham Studio","NY","1","1313"
"2772","Mercy College","NY","3983","9400773.25"
"31814","Merkaz Bnos","NY","347","948896"
"9335","Mesivta Of Eastern Parkway Rabbinical Seminary","NY","15","44437"
"7264","Mesivta Torah Vodaath Rabbinical Seminary","NY","54","178798"
"3974","Mesivtha Tifereth Jerusalem Of America","NY","12","36125"
"9769","Metropolitan College Of New York","NY","1146","3190200.5600000001"
"36523","Metropolitan Learning Institute","NY","93","155195"
"9283","Midway Paris Beauty School","NY","67","144025"
"15332","Mildred Elley","NY","793","1697274.97"
"4798","Mirrer Yeshiva Central Institute","NY","108","348725"
"16723","Modern Welding School, Inc","NY","81","178372.47"
"2775","Molloy College","NY","587","1436362.5"
"4799","Monroe College","NY","5734","14460178.800000001"
"2872","Monroe Community College","NY","5311","11697086"
"2778","Mount Saint Mary College","NY","553","1301535.6899999999"
"2873","Nassau Community College","NY","5123","11579835.460000001"
"2779","Nazareth College Of Rochester","NY","529","1274778.71"
"9029","Neighborhood Playhouse School Of The Theatre (The)","NY","10","26000"
"21822","New School Of Radio And Television","NY","39","73259"
"2780","New School University","NY","1138","2863295.6099999999"
"35373","New York Automotive & Diesel Institute","NY","102","184741"
"14576","New York Career Institute","NY","424","760576"
"25994","New York College Of Health Professions","NY","234","461052.28999999998"
"16463","New York Institute Of English And Business","NY","532","1025796"
"32033","New York Institute Of Massage","NY","91","165190.44"
"2782","New York Institute Of Technology","NY","1755","4386331.0499999998"
"30885","New York International Beauty School","NY","188","406883"
"31111","New York Paralegal School","NY","95","133302"
"10551","New York School For Medical & Dental Assistants","NY","412","970904"
"13606","New York School Of Interior Design","NY","24","46794"
