"PELLID","OPEID","Name","City","State","Type & Control","Recips","Awards"
"11166","1116600","UTAH CAREER COLLEGE","WEST JORDAN","UT","Proprietary","663","1233567"
"30306","3030600","UTAH COLLEGE OF MASSAGE THERAPY","SALT LAKE CITY","UT","Proprietary","1853","3907599"
"3677","367700","UTAH STATE UNIVERSITY","LOGAN","UT","Public 4 Year","5653","14891861"
"4027","402700","UTAH VALLEY UNIVERSITY","OREM","UT","Public 4 Year","7032","17244626"
"16984","2531800","VON CURTIS ACADEMY OF HAIR DESIGN","PROVO","UT","Proprietary","531","1391679"
"3680","368000","WEBER STATE UNIVERSITY","OGDEN","UT","Public 4 Year","4417","10503381"
"33394","3339400","WESTERN GOVERNORS UNIVERSITY","SALT LAKE CITY","UT","Private 4 Year","3622","9112696"
"3681","368100","WESTMINSTER COLLEGE","SALT LAKE CITY","UT","Private 4 Year","483","1374538"
"30428","3042800","""VIRGINIA BEACH CITY SCHOOLS, PR NSG""","VIRGINIA BEACH","VA","Public 2 Year","6","12155"
"30911","3091100","ACT COLLEGE","ARLINGTON","VA","Proprietary","565","1315778"
"31275","3127500","ADVANCED TECHNOLOGY INSTITUTE","VIRGINIA BEACH","VA","Proprietary","268","702967"
"40384","4038400","ANA VISAGE ACADEMY","GREAT FALLS","VA","Proprietary","17","35979"
"3702","370200","AVERETT UNIVERSITY","DANVILLE","VA","Private 4 Year","566","1396312"
"38834","3883400","AVIATION INSTITUTE OF MAINTENANCE","MANASSAS","VA","Proprietary","96","268235"
"30107","3010700","BAR PALMA BEAUTY CAREERS  ACADEMY","ROANOKE","VA","Proprietary","74","171517"
"6819","681900","BLUE RIDGE COMMUNITY COLLEGE","WEYERS CAVE","VA","Public 2 Year","930","2007027"
"3703","370300","BLUEFIELD COLLEGE","BLUEFIELD","VA","Private 4 Year","292","753962"
"10043","1004300","BON SECOURS MEMORIAL SCH OF NURSING","RICHMOND","VA","Private 2 Year","76","132023"
"3704","370400","BRIDGEWATER COLLEGE","BRIDGEWATER","VA","Private 4 Year","325","920540"
"36543","3654300","CAREER TRAINING SOLUTIONS","FREDERICKSBURG","VA","Proprietary","191","482197"
"21287","2128700","CENTRAL SCHOOL OF PRACTICAL NURSING","NORFOLK","VA","Public 2 Year","20","50864"
"4988","498800","CENTRAL VIRGINIA COMMUNITY COLLEGE","LYNCHBURG","VA","Public 2 Year","862","1699387"
"41334","4133400","CENTURA COLLEGE","ALEXANDRIA","VA","Proprietary","7","13152"
"31264","3126400","CENTURA COLLEGE","RICHMOND","VA","Proprietary","388","1047990"
"16538","2334400","CENTURA COLLEGE","VIRGINIA BEACH","VA","Proprietary","3152","8759613"
"3706","370600","CHRISTOPHER NEWPORT UNIVERSITY","NEWPORT NEWS","VA","Public 4 Year","503","1337961"
"9893","662200","COLLEGE OF HEALTH SCIENCES - CHRV","ROANOKE","VA","Private 4 Year","282","699249"
"3705","370500","COLLEGE OF WILLIAM & MARY","WILLIAMSBURG","VA","Public 4 Year","543","1573783"
"16586","2340000","COLONIAL HEIGHTS BEAUTY ACADEMY","COLONIAL HEIGHTS","VA","Proprietary","66","183256"
"38763","3876300","CULPEPER COSMETOLOGY TRAINING CENTER","CULPEPER","VA","Public 2 Year","10","26665"
"4996","499600","DABNEY S LANCASTER COMMUNITY CLG","CLIFTON FORGE","VA","Public 2 Year","404","872990"
"3758","375800","DANVILLE COMMUNITY COLLEGE","DANVILLE","VA","Public 2 Year","1416","3432127"
"13889","2111600","DANVILLE REGIONAL MEDICAL CENTER SCHOOL","DANVILLE","VA","Proprietary","52","142610"
"41240","4124000","DOMINION SCHOOL OF HAIR DESIGN","GLOUSCESTER","VA","Proprietary","8","17575"
"3708","370800","EASTERN MENNONITE UNIVERSITY","HARRISONBURG","VA","Private 4 Year","285","732189"
"3748","374800","EASTERN SHORE COMMUNITY COLLEGE","MELFA","VA","Public 2 Year","450","1064508"
"10338","1033800","EASTERN VIRGINIA MEDICAL SCHOOL","NORFOLK","VA","Private 4 Year","1","4310"
"10198","1019800","ECPI COLLEGE OF TECHNOLOGY","VIRGINIA BEACH","VA","Proprietary","5567","15613089"
"17205","2535400","ECPI TECHNICAL COLLEGE","RICHMOND","VA","Proprietary","428","1218963"
"30927","3092700","ECPI TECHNICAL COLLEGE-ROANOKE","ROANOKE","VA","Proprietary","375","1089591"
"3709","370900","EMORY & HENRY COLLEGE","EMORY","VA","Private 4 Year","329","929938"
"9267","926700","EVEREST COLLEGE","NEWPORT NEWS","VA","Proprietary","1750","3963619"
"3711","371100","FERRUM COLLEGE","FERRUM","VA","Private 4 Year","578","1647262"
"3749","374900","GEORGE MASON UNIVERSITY","FAIRFAX","VA","Public 4 Year","3466","9868664"
"8660","866000","GERMANNA COMMUNITY COLLEGE","LOCUST GROVE","VA","Public 2 Year","860","1807399"
"30024","3002400","GRAHAM WEBB INTERNATIONAL ACAD HAIR","ARLINGTON","VA","Proprietary","38","94904"
"3713","371300","HAMPDEN-SYDNEY COLLEGE","HAMPDEN-SYDNEY","VA","Private 4 Year","127","377635"
"3714","371400","HAMPTON UNIVERSITY","HAMPTON","VA","Private 4 Year","1478","4512558"
"13629","2242400","HENRICO CTY ST MARYS HOSP PRAC NRSG","HIGHLAND SPRINGS","VA","Public 2 Year","22","52903"
"15704","2223100","HERITAGE INSTITUTE","FALLS CHURCH","VA","Proprietary","17","44555"
"16286","2304500","HERITAGE INSTITUTE","MANASSAS","VA","Proprietary","219","593095"
"3715","371500","HOLLINS UNIVERSITY","ROANOKE","VA","Private 4 Year","240","737894"
"3759","375900","J. SARGEANT REYNOLDS COMMUNITY CLG","RICHMOND","VA","Public 2 Year","2736","5802594"
"3721","372100","JAMES MADISON UNIVERSITY","HARRISONBURG","VA","Public 4 Year","1575","4353975"
"4004","400400","JOHN TYLER COMMUNITY COLLEGE","CHESTER","VA","Public 2 Year","1886","3931398"
"10392","2053000","LIBERTY UNIVERSITY","LYNCHBURG","VA","Private 4 Year","6932","17224845"
"3719","371900","LONGWOOD UNIVERSITY","FARMVILLE","VA","Public 4 Year","669","1787480"
"8659","865900","LORD FAIRFAX COMMUNITY COLLEGE","MIDDLETOWN","VA","Public 2 Year","923","1916653"
"3720","372000","LYNCHBURG COLLEGE","LYNCHBURG","VA","Private 4 Year","478","1304698"
"15347","2175800","LYNCHBURG GENERAL HOSP SCH OF NURSG","LYNCHBURG","VA","Private 2 Year","68","164785"
"3723","372300","MARY BALDWIN COLLEGE","STAUNTON","VA","Private 4 Year","554","1468404"
"3724","372400","MARYMOUNT UNIVERSITY","ARLINGTON","VA","Private 4 Year","457","1293253"
"15847","2247200","MEDSPA CAREERS INSTITUTE","NEWPORT NEWS","VA","Proprietary","513","1334798"
"4992","499200","MILLER-MOTTE TECHNICAL COLLEGE","LYNCHBURG","VA","Proprietary","891","1851159"
"9629","962900","MOUNTAIN EMPIRE COMMUNITY COLLEGE","BIG STONE GAP","VA","Public 2 Year","1608","3729642"
"3726","372600","NATIONAL COLLEGE","SALEM","VA","Proprietary","4780","12215027"
"5223","522300","NEW RIVER COMMUNITY COLLEGE","DUBLIN","VA","Public 2 Year","1150","2626195"
"3765","376500","NORFOLK STATE UNIVERSITY","NORFOLK","VA","Public 4 Year","2908","8781728"
"3727","372700","NORTHERN VA CMTY CLG","ANNANDALE","VA","Public 2 Year","5481","13330136"
"3728","372800","OLD DOMINION UNIVERSITY","NORFOLK","VA","Public 4 Year","4052","11036896"
"3751","375100","PATRICK HENRY COMMUNITY COLLEGE","MARTINSVILLE","VA","Public 2 Year","1346","3018265"
"9159","915900","PAUL D CAMP COMMUNITY COLLEGE","FRANKLIN","VA","Public 2 Year","655","1494208"
