"PELLID","Institution","City","State","Recipients","Awards"
"2934","Isothermal Community College","Spindale","NC","566","974094.42000000004"
"7687","James Sprunt Community College","Kenansville","NC","391","773612.51000000001"
"13819","John Wesley College","High Point","NC","58","81271"
"2936","Johnson C. Smith University","Charlotte","NC","1062","2358175.5"
"9336","Johnston Community College","Smithfield","NC","600","1049545.78"
"2939","Lees-McRae College","Banner Elk","NC","191","381953"
"2940","Lenoir Community College","Kinston","NC","880","1705670.72"
"2941","Lenoir-Rhyne College","Hickory","NC","353","670766.54000000004"
"2942","Livingstone College","Salisbury","NC","766","1802219.97"
"2943","Louisburg College","Louisburg","NC","190","383180"
"2944","Mars Hill College","Mars Hill","NC","423","791527"
"7988","Martin Community College","Williamston","NC","331","661058.98999999999"
"11197","Mayland Community College","Spruce Pine","NC","300","516014"
"8085","McDowell Technical Community College","Marion","NC","378","726046.09999999998"
"6478","Mercy School of Nursing","Charlotte","NC","47","99194.139999999999"
"2945","Meredith College","Raleigh","NC","380","651414"
"2946","Methodist College","Fayetteville","NC","670","1213870"
"2947","Mitchell Community College","Statesville","NC","461","845286.71999999997"
"8087","Montgomery Community College","Troy","NC","236","381528.14000000001"
"2948","Montreat College","Montreat","NC","306","533541"
"2949","Mount Olive College","Mount Olive","NC","427","695128.13"
"8557","Nash Community College","Rocky Mount","NC","655","1007861.5"
"2905","North Carolina Agricultural and Technical State University","Greensboro","NC","2762","5911467.3399999999"
"2950","North Carolina Central University","Durham","NC","2051","4380212"
"3981","North Carolina School of the Arts","Winston-Salem","NC","150","306443.20000000001"
"2972","NORTH CAROLINA STATE UNIVERSITY","Raleigh","NC","2951","5588424.0800000001"
"2951","North Carolina Wesleyan College","Rocky Mount","NC","539","1052319"
"7031","Pamlico Community College","Grantsboro","NC","101","178487"
"2953","Peace College","Raleigh","NC","111","208421"
"2955","Pfeiffer University","Misenheimer","NC","263","520726"
"2956","Piedmont Baptist College","Winston Salem","NC","111","206668"
"9646","Piedmont Community College","Roxboro","NC","545","958675"
"4062","Pitt Community College","Greenville","NC","1241","2338413.77"
"6482","Presbyterian Hospital School of Nursing","Charlotte","NC","33","59029.5"
"2957","Queens College","Charlotte","NC","212","388794"
"5447","Randolph Community College","Asheboro","NC","445","789797.19999999995"
"5464","Richmond Community College","Hamlet","NC","764","1468884.25"
"14101","Roanoke Bible College","Elizabeth City","NC","74","137246"
"8613","Roanoke Chowan Community College","Ahoskie","NC","627","1193763"
"8612","Robeson Community College","Lumberton","NC","563","1280097.98"
"2958","Rockingham Community College","Wentworth","NC","516","894980.17000000004"
"5754","Rowan Cabarrus Community College","Salisbury","NC","925","1403352.75"
"2967","Saint Andrews Presbyterian College","Laurinburg","NC","189","368699.90000000002"
"2960","Salem College","Winston-Salem","NC","315","600335"
"7892","Sampson Community College","Clinton","NC","545","962762.13"
"2961","Sandhills Community College","Pinehurst","NC","1062","2042500.5800000001"
"2962","Shaw University","Raleigh","NC","1692","3741862.04"
"7985","South Piedmont Community College","Polkton","NC","771","1382069.8500000001"
"2964","Southeastern Community College","Whiteville","NC","897","1831811.27"
"8466","Southwestern Community College","Sylva","NC","560","1051115.5800000001"
"2968","St Augustines College","Raleigh","NC","980","2208752.02"
"11194","Stanly Community College","Albemarle","NC","484","673226.16000000003"
"2970","Surry Community College","Dobson","NC","654","1131092"
"9430","Tri County College","Murphy","NC","567","1003733"
"2974","University of North Carolina - Chapel Hill","Chapel Hill","NC","1848","3613149.6800000002"
"2975","University of North Carolina - Charlotte","Charlotte","NC","3069","5790312"
"2976","University of North Carolina - Greensboro","Greensboro","NC","2309","4440451.7699999996"
"2907","University of North Carolina at Asheville","Asheville","NC","585","1096306.3300000001"
"2954","University of North Carolina at Pembroke","Pembroke","NC","1079","2189400.79"
"2984","University of North Carolina Wilmington","Wilmington","NC","1725","3213964"
"9903","Vance-Granville Community College","Henderson","NC","1352","2350167.25"
"2978","Wake Forest University","Winston-Salem","NC","265","522479"
"4844","Wake Technical Community College","Raleigh","NC","1358","2280065.2400000002"
"2979","Warren Wilson College","Swannanoa","NC","194","368224"
"6483","Watts School of Nursing","Durham","NC","13","18709"
"8216","Wayne Community College","Goldsboro","NC","918","1622849.6699999999"
"2981","Western Carolina University","Cullowhee","NC","1271","2416625"
"2982","Western Piedmont Community College","Morganton","NC","582","1054034.03"
"2983","Wilkes Community College","Wilkesboro","NC","634","1034615.92"
"4845","Wilson Technical Community College","Wilson","NC","685","1087546.47"
"2985","Wingate University","Wingate","NC","272","535251"
"2986","Winston-Salem State University","Winston-Salem","NC","1294","2942383"
"2988","Bismarck State College","Bismarck","ND","912","1683807.95"
"15793","Cankdeska Cikana (Little Hoop) Community College","Fort Totten","ND","84","141078"
"2989","Dickinson State University","Dickinson","ND","770","1477537.73"
"15536","Ft Berthold Community College","New Town","ND","236","502904.58000000002"
"2990","Jamestown College","Jamestown","ND","439","803016.88"
"2991","Lake Region State College","Devils Lake","ND","324","600658"
"2993","Mayville State University","Mayville","ND","257","466561"
"9354","MedCenter One College of Nursing","Bismarck","ND","30","62053.5"
"2994","Minot State University","Minot","ND","1344","2451966.8100000001"
"2995","Minot State University - Bottineau","Bottineau","ND","300","567493"
"2996","NORTH DAKOTA STATE COLLEGE OF SCIENCE","Wahpeton","ND","1014","1910675.28"
"2997","North Dakota State University of Agriculture & Applied Science","Fargo","ND","2364","4191498.8300000001"
"14993","Sitting Bull College","Ft Yates","ND","219","373313.26000000001"
"12059","Trinity Bible College","Ellendale","ND","204","469998"
"9450","Turtle Mountain Community College","Belcourt","ND","366","762112"
"14470","United Tribes Technical College","Bismarck","ND","263","594047"
"2992","University of Mary","Bismarck","ND","817","1455348"
"3005","University of North Dakota","Grand Forks","ND","2334","4365076"
"3008","Valley City State University","Valley City","ND","381","716354.78000000003"
"3007","Williston State College","Williston","ND","398","793201"
"8492","Alegent Health School of Radiologic Technology","Omaha","NE","2","1950"
"2538","Bellevue University","Bellevue","NE","735","1104200"
"6399","Bryan School of Nursing","Lincoln","NE","50","76801.649999999994"
"14468","Central Community College","Grand Island","NE","1694","2642624.5099999998"
"2539","Chadron State College","Chadron","NE","902","1725772"
"9862","Clarkson College","Omaha","NE","78","114787"
"2540","College of Saint Mary","Omaha","NE","292","526905"
"2541","Concordia University","Seward","NE","316","546413"
"2542","Creighton University","Omaha","NE","530","994334"
"2543","Dana College","Blair","NE","215","392167"
"2544","Doane College","Crete","NE","359","625203.77000000002"
"2547","Grace University","Omaha","NE","210","318843"
"2548","Hastings College","Hastings","NE","353","689681"
"33233","Little Priest Tribal College","Winnebago","NE","63","97174"
"4432","Metropolitan Community College","Omaha","NE","2364","2352388"
"2553","Midland Lutheran College","Fremont","NE","357","622967"
