"OPEID","Name","State","Type & Control","Recips","Awards"
"31004","COCONINO COUNTY COMMUNITY COLLEGE-FLAGSTAFF LONE TREE CAMPUS & DIST.OF","AZ","Public 2 Year","1320","3990026"
"31203","COLLEGE AMERICA - FLAGSTAFF","AZ","Proprietary 4 Year","702","3524062"
"21749","COLLINS COLLEGE","AZ","Proprietary 4 Year","1044","4583129"
"30344","CONSERVATORY OF RECORDING ARTS & SCIENCES","AZ","Proprietary 2 Year","465","1531008"
"26238","CORTIVA INSTITUTE - SCOTTSDALE","AZ","Proprietary 2 Year","126","355417"
"25827","CORTIVA INSTITUTE - TUCSON","AZ","Proprietary 2 Year","169","490073"
"8246","DINE COLLEGE","AZ","Public 4 Year","1531","6135820"
"35723","EAST VALLEY INSTITUTE OF TECHNOLOGY","AZ","Public 2 Year","46","139314"
"1073","EASTERN ARIZONA COLLEGE","AZ","Public 2 Year","1618","5570795"
"12343","EMPIRE BEAUTY SCHOOL","AZ","Proprietary 2 Year","340","1336975"
"12937","EMPIRE BEAUTY SCHOOL","AZ","Proprietary 2 Year","99","403853"
"22203","EMPIRE BEAUTY SCHOOL","AZ","Proprietary 2 Year","374","1380961"
"8865","EMPIRE BEAUTY SCHOOL","AZ","Proprietary 2 Year","443","1718710"
"11808","EMPIRE BEAUTY SCHOOL - FLAGSTAFF","AZ","Proprietary 2 Year","405","1620136"
"31563","ESTRELLA MOUNTAIN COMMUNITY COLLEGE","AZ","Public 2 Year","3460","9912287"
"22950","EVEREST COLLEGE PHOENIX","AZ","Proprietary 4 Year","9152","30933898"
"8303","GATEWAY COMMUNITY COLLEGE","AZ","Public 2 Year","2526","6448427"
"1076","GLENDALE COMMUNITY COLLEGE","AZ","Public 2 Year","6710","19781407"
"1074","GRAND CANYON UNIVERSITY","AZ","Proprietary 4 Year","18664","45411388"
"34453","HDS TRUCK DRIVING INSTITUTE","AZ","Proprietary 2 Year","32","126903"
"12184","INTERNATIONAL ACADEMY OF HAIR DESIGN","AZ","Proprietary 2 Year","194","667262"
"33473","INTERNATIONAL BAPTIST COLLEGE","AZ","Private 4 Year","33","124407"
"20652","ITT TECHNICAL INSTITUTE -","AZ","Proprietary 2 Year","2481","10056044"
"23611","ITT TECHNICAL INSTITUTE -","AZ","Proprietary 2 Year","2093","8222334"
"20712","KAPLAN COLLEGE","AZ","Proprietary 2 Year","700","2479847"
"25215","LAMSON COLLEGE","AZ","Proprietary 2 Year","469","1688585"
