"OPEID","PELLID","Name","State","Type & Control","Recipients","Awards"
"1044700","10447","PLAZA BEAUTY SCHOOL","TN","proprietary","111","231426"
"3774300","37743","PYRAMID BEAUTY SCHOOL","TN","proprietary","105","258106.78"
"2539800","17068","QUEEN CITY COLLEGE","TN","proprietary","113","294021.12"
"2275500","16062","REUBEN-ALLEN COLLEGE","TN","proprietary","30","73963"
"351900","3519","RHODES COLLEGE","TN","private 4 year","141","377082.27000000002"
"991400","9914","ROANE STATE COMMUNITY COLLEGE","TN","public 2 year","2186","4960086.0899999999"
"3830300","38303","SAE INSTITUTE OF TECHNOLOGY","TN","proprietary","72","136778"
"3774400","37744","SHEAR ACADEMY","TN","proprietary","22","43618.709999999999"
"493800","4938","SOUTH COLLEGE","TN","proprietary","682","1473252.3300000001"
"2326200","23262","SOUTHEASTERN CAREER COLLEGE","TN","proprietary","371","936940"
"351800","3518","SOUTHERN ADVENTIST UNIVERSITY","TN","private 4 year","618","1673009"
"2339800","16595","SOUTHERN INSTITUTE OF COSMETOLOGY - MAIN CAMPUS","TN","proprietary","99","268936"
"1043900","10439","SOUTHWEST TENNESSEE COMMUNITY COLLEGE","TN","public 2 year","7430","15827379.32"
"3061100","30611","STYLEMASTERS BEAUTY ACADEMY","TN","proprietary","226","548345"
"3126900","31269","STYLES & PROFILES BEAUTY COLLEGE","TN","proprietary","23","55150"
"2540000","17045","TENNESSEE ACADEMY OF COSMETOLOGY I, LLC","TN","proprietary","108","223344.57000000001"
"3024900","30249","TENNESSEE ACADEMY OF COSMETOLOGY, II, LLC","TN","proprietary","107","229058"
"3454300","34543","TENNESSEE CAREER COLLEGE","TN","proprietary","71","155070.35999999999"
"956700","9567","TENNESSEE SCHOOL OF BEAUTY","TN","proprietary","98","278090"
"352200","3522","TENNESSEE STATE UNIVERSITY","TN","public 4 year","3806","10456960"
"536000","5360","TENNESSEE TECHNICAL CENTER - MEMPHIS","TN","public 2 year","659","1210680"
"535100","13891","TENNESSEE TECHNICAL CENTER - MORRISTOWN","TN","public 2 year","616","880809.33999999997"
"352300","3523","TENNESSEE TECHNOLOGICAL UNIVERSITY","TN","public 4 year","2122","5173818"
"528000","5280","TENNESSEE TECHNOLOGY CENTER - COVINGTON","TN","public 2 year","98","161923.70999999999"
"535700","5357","TENNESSEE TECHNOLOGY CENTER - CRUMP","TN","public 2 year","199","336572.53000000003"
"528100","5281","TENNESSEE TECHNOLOGY CENTER - ELIZABETHTON","TN","public 2 year","373","644288.08999999997"
"535600","14126","TENNESSEE TECHNOLOGY CENTER - HOHENWALD","TN","public 2 year","297","550699.26000000001"
"528300","5283","TENNESSEE TECHNOLOGY CENTER - NEW BERN","TN","public 2 year","143","251157.16"
"971000","9710","TENNESSEE TECHNOLOGY CENTER - ONEIDA/HUNTSVILLE","TN","public 2 year","104","159604.48999999999"
"1216400","12164","TENNESSEE TECHNOLOGY CENTER - RIPLEY","TN","public 2 year","155","238297"
"535800","5358","TENNESSEE TECHNOLOGY CENTER AT ATHENS","TN","public 2 year","116","202897"
"402600","4026","TENNESSEE TECHNOLOGY CENTER AT CROSSVILLE","TN","public 2 year","223","394044.96999999997"
"778200","13955","TENNESSEE TECHNOLOGY CENTER AT DICKSON","TN","public 2 year","303","495714.75"
"1032600","13894","TENNESSEE TECHNOLOGY CENTER AT HARRIMAN","TN","public 2 year","120","243172"
"528200","13893","TENNESSEE TECHNOLOGY CENTER AT HARTSVILLE","TN","public 2 year","133","235692"
"1070000","10700","TENNESSEE TECHNOLOGY CENTER AT JACKSBORO","TN","public 2 year","150","289557.75"
"535400","13895","TENNESSEE TECHNOLOGY CENTER AT JACKSON","TN","public 2 year","340","608057.53000000003"
"402500","4025","TENNESSEE TECHNOLOGY CENTER AT KNOXVILLE","TN","public 2 year","386","667663.20999999996"
"535300","5353","TENNESSEE TECHNOLOGY CENTER AT LIVINGSTON","TN","public 2 year","281","465276"
"535200","5352","TENNESSEE TECHNOLOGY CENTER AT MCKENZIE - MCKENZIE","TN","public 2 year","178","284805.87"
"530700","5307","TENNESSEE TECHNOLOGY CENTER AT MCMINNVILLE","TN","public 2 year","132","218408"
"2103500","14543","TENNESSEE TECHNOLOGY CENTER AT MURFREESBORO","TN","public 2 year","140","249721.60999999999"
"535900","13968","TENNESSEE TECHNOLOGY CENTER AT NASHVILLE","TN","public 2 year","412","581299.75"
"2237900","13943","TENNESSEE TECHNOLOGY CENTER AT PARIS","TN","public 2 year","328","574664.43999999994"
"946400","9464","TENNESSEE TECHNOLOGY CENTER AT PULASKI","TN","public 2 year","179","302307.71000000002"
"537900","5379","TENNESSEE TECHNOLOGY CENTER AT SHELBYVILLE","TN","public 2 year","274","434515.94"
"2092800","14304","TENNESSEE TECHNOLOGY CENTER AT WHITEVILLE","TN","public 2 year","147","288856.97999999998"
"352400","3524","TENNESSEE TEMPLE UNIVERSITY","TN","private 4 year","198","464742.65000000002"
"352500","3525","TENNESSEE WESLEYAN COLLEGE","TN","private 4 year","305","782716"
"352600","3526","TREVECCA NAZARENE UNIVERSITY","TN","private 4 year","387","962946"
"352700","3527","TUSCULUM COLLEGE","TN","private 4 year","932","2254173"
"352800","3528","UNION UNIVERSITY","TN","private 4 year","423","1016235"
"350900","3509","UNIVERSITY OF MEMPHIS (THE)","TN","public 4 year","6526","17024748.75"
"353000","3530","UNIVERSITY OF TENNESSEE","TN","public 4 year","4316","11094421"
"352900","3529","UNIVERSITY OF TENNESSEE - CHATTANOOGA","TN","public 4 year","1981","5058673"
"353100","3531","UNIVERSITY OF TENNESSEE - MARTIN","TN","public 4 year","2101","5536410"
"353400","3534","UNIVERSITY OF THE SOUTH (THE)","TN","private 4 year","145","379175"
"353500","3535","VANDERBILT UNIVERSITY","TN","private 4 year","683","1884933"
"2335900","16557","VOLUNTEER BEAUTY ACADEMY","TN","proprietary","61","119036"
"2293900","16185","VOLUNTEER BEAUTY ACADEMY NORTH","TN","proprietary","81","172021"
"2294000","16183","VOLUNTEER BEAUTY ACADEMY OF DYERSBURG","TN","proprietary","75","156407"
"991200","9912","VOLUNTEER STATE COMMUNITY COLLEGE","TN","public 2 year","2046","4255457"
"886300","8863","WALTERS STATE COMMUNITY COLLEGE","TN","public 2 year","2526","5392358.3200000003"
"3088800","31276","WATKINS INSTITUTE COLLEGE OF ART & DESIGN","TN","private 4 year","95","217034.09"
"494700","4947","WEST TENNESSEE BUSINESS COLLEGE","TN","proprietary","370","746240.44999999995"
"1155300","13531","WILLIAM R  MOORE COLLEGE OF TECHNOLOGY","TN","private 2 year","26","57620.800000000003"
"3513500","35135","WILLIAMSON CHRISTIAN COLLEGE","TN","private 4 year","16","25993.25"
"353700","3537","ABILENE CHRISTIAN UNIVERSITY","TX","private 4 year","1008","2573092"
"3563300","35633","ACADEMY OF COSMETOLOGY","TX","proprietary","95","224237"
"2357700","16749","ACADEMY OF HAIR DESIGN","TX","proprietary","79","186250.79999999999"
"3276300","32763","ACADEMY OF HAIR DESIGN","TX","proprietary","150","340894"
"3277300","32773","ACADEMY OF HAIR DESIGN","TX","proprietary","62","131627"
"3426300","34263","ACADEMY OF HEALTH CARE PROFESSIONS (THE)","TX","proprietary","249","626431"
"3128100","31281","ACADEMY OF HEALTH CARE PROFESSIONS (THE)","TX","proprietary","920","2356775.48"
"3412300","34123","ADVANCED BARBER COLLEGE & HAIR DESIGN","TX","proprietary","156","409949"
"3023800","30238","AIMS ACADEMY","TX","proprietary","75","165784"
"3984300","39843","ALLIED CAREER CENTER","TX","proprietary","33","68195"
"353900","3539","ALVIN COMMUNITY COLLEGE","TX","public 2 year","986","2088065"
"354000","3540","AMARILLO COLLEGE","TX","public 2 year","3809","8047725.1799999997"
"3153300","31533","AMERICAN COLLEGE OF ACUPUNCTURE & ORIENTAL MEDICINE","TX","proprietary","13","35782"
"1005700","10057","AMERICAN COMMERCIAL COLLEGE","TX","proprietary","367","712589.44999999995"
"1005900","10059","AMERICAN COMMERCIAL COLLEGE","TX","proprietary","343","757213.68000000005"
