"PELLID","OPEID","GAPSID","Name","State","Type & Control","Recipients","Awards"
"1459","145900","1243","STRAYER UNIVERSITY","DC","Proprietary","18952","41445448.719999999"
"37503","3750300","5500","TECHNICAL LEARNING CENTERS","DC","Proprietary","135","422889.67999999999"
"1460","146000","1244","TRINITY UNIVERSITY","DC","Private 4 Year","684","2049966"
"7015","144100","1238","UNIVERSITY OF THE DISTRICT OF COLUMBIA","DC","Public 4 year","1975","5490294.5800000001"
"41307","4130700","6114","ACADEMY OF MASSAGE AND BODYWORK","DE","Proprietary","22","59752"
"21252","2125200","3785","BEEBE SCHOOL OF NURSING","DE","Private 2 Year","6","21696"
"30258","3025800","4583","DAWN TRAINING CENTRE","DE","Proprietary","375","1139813"
"41398","4139800","6291","DELAWARE COLLEGE OF ART & DESIGN","DE","Private 2 Year","83","245579"
"37023","3702300","5832","DELAWARE LEARNING INSTITUTE OF COSMETOLOGY","DE","Proprietary","43","130196.89999999999"
"1428","142800","1233","DELAWARE STATE UNIVERSITY","DE","Public 4 year","1473","4835732.75"
"11727","1172700","3468","DELAWARE TECHNICAL & COMMUNITY COLLEGE","DE","Public 2 year","1318","2977486.4700000002"
"11387","2144900","3817","DELAWARE TECHNICAL & COMMUNITY COLLEGE","DE","Public 2 year","1641","3616181.8300000001"
"7053","705300","2885","DELAWARE TECHNICAL & COMMUNITY COLLEGE - OWENS CAMPUS","DE","Public 2 year","1712","3877382.9399999999"
"1429","142900","1234","GOLDEY-BEACOM COLLEGE","DE","Private 4 Year","187","596766"
"35433","3543300","5050","HARRIS SCHOOL OF BUSINESS","DE","Proprietary","595","1649454.4099999999"
"15477","2190400","724","SCHILLING-DOUGLAS SCHOOL OF HAIR DESIGN","DE","Proprietary","124","342879"
"1431","143100","66","UNIVERSITY OF DELAWARE","DE","Public 4 year","1377","4197977"
"1433","143300","1235","WESLEY COLLEGE","DE","Private 4 Year","622","1899086.5900000001"
"7948","794800","3027","WILMINGTON UNIVERSITY","DE","Private 4 Year","1475","4181467"
"33463","3346300","4936","ACADEMY FOR PRACTICAL NURSING AND HEALTH OCCUPATIONS","FL","Private 2 Year","496","1381055.6000000001"
"41269","4126900","5958","ACADEMY OF CAREER TRAINING","FL","Proprietary","70","185374"
"16785","2499000","4291","ACADEMY OF COSMETOLOGY","FL","Proprietary","165","399627.56"
"26127","2612700","906","ACADEMY OF COSMETOLOGY - PALM BAY","FL","Proprietary","101","243567.91"
"31134","3113400","4772","ACADEMY OF PALM BEACH","FL","Proprietary","112","292006"
"41205","4120500","5944","ACADEMY OF PROFESSIONAL CAREERS","FL","Proprietary","4","3154"
"34145","3414500","4970","ACUPUNCTURE AND MASSAGE COLLEGE","FL","Proprietary","45","132874.81"
"37573","3757300","5477","ADVANCE SCIENCE INSTITUTE","FL","Proprietary","135","342537.45000000001"
