"OPEID","NAME","CITY","STATE","Insttype","Recips","Awards"
"2170200","ALBANY SCHOHARIE SCHENECTADY","ALBANY","NY","Public 2 Year","144","541250"
"266800","ALFRED UNIVERSITY","ALFRED","NY","Private 4 Year","769","3015878"
"3358300","ALLEN SCHOOL","JAMAICA","NY","Proprietary 2 Year","2333","8032820"
"1081300","AMERICAN ACAD MCALLISTER INST","NEW YORK","NY","Private 2 Year","181","531128"
"746500","AMERICAN ACADEMY OF DRAMATIC ARTS","NEW YORK","NY","Private 2 Year","168","737912"
"3342400","AMERICAN BARBER INSTITUTE","NEW YORK","NY","Proprietary 2 Year","92","286007"
"3903400","AMERICAN BEAUTY SCHOOL","BRONX","NY","Proprietary 2 Year","310","883601"
"757200","AMERICAN MUSICAL AND DRAMATIC ACAD","NEW YORK","NY","Private 4 Year","635","2778219"
"4137700","ANN MARIE'S WORLD OF BEAUTY SCHOOL","BINGHAMTON","NY","Proprietary 2 Year","13","43482"
"3426400","ANTHEM INSTITUTE","NEW YORK","NY","Proprietary 2 Year","411","1134944"
"751800","APEX TECHNICAL SCHOOL","NEW YORK","NY","Proprietary 2 Year","1703","6298040"
"643501","ARNOT OGDEN MEDICAL CENTER","ELMIRA","NY","Private 2 Year","40","145837"
"2525600","ART INSTITUTE OF NEW YORK CITY (THE)","NEW YORK","NY","Proprietary 2 Year","1664","5831800"
"3095500","ASA INST BUSINESS & COMPUTER TECH","BROOKLYN","NY","Proprietary 2 Year","6154","24648398"
"2506000","ASSOCIATED BETH RIVKAH SCHOOLS","BROOKLYN","NY","Private 2 Year","95","500875"
"4178700","ATELIER ESTHETIQUE INSTITUTE OF ESTHETIC","NEW YORK","NY","Proprietary 2 Year","128","342831"
"737200","AUSTIN'S SCHOOL OF SPA TECHNOLOGY","ALBANY","NY","Proprietary 2 Year","423","1103084"
"3839300","AVEDA INSTITUTE NEW YORK","NEW YORK","NY","Proprietary 2 Year","165","533014"
"2622900","BAIS MEDRASH ELYON","MONSEY","NY","Private 4 Year","5","27400"
"267100","BARD COLLEGE","ANNANDALE-ON-HUDSON","NY","Private 4 Year","358","1482719"
"270800","BARNARD COLLEGE-COLUMBIA UNIV","NEW YORK","NY","Private 4 Year","480","2138272"
"739100","BEAUTY SCHOOL OF MIDDLETOWN","MIDDLETOWN","NY","Proprietary 2 Year","72","231341"
"4192800","BE'ER YAAKOV TALMUDIC SEMINARY","SPRING VALLEY","NY","Private 4 Year","205","1119975"
"3713300","BEIS MEDRASH HEICHAL DOVID","FAR ROCKAWAY","NY","Private 4 Year","33","160862"
"1183000","BERK TRADE AND BUSINESS SCHOOL","LONG ISLAND CITY","NY","Proprietary 2 Year","219","606170"
"739400","BERKELEY COLLEGE","NEW YORK","NY","Proprietary 4 Year","3996","14929972"
"739402","BERKELEY COLLEGE  -  WESTCHESTER CAMPUS","WHITE PLAINS","NY","Proprietary 4 Year","604","2304691"
"1119200","BETH HAMEDRASH SHAAREI YOSHER INST","BROOKLYN","NY","Private 4 Year","22","118125"
"1192200","BETH HATALMUD RABBINICAL CLG","BROOKLYN","NY","Private 4 Year","30","165350"
"283600","BINGHAMTON UNIVERSITY (SUNY)","BINGHAMTON","NY","Public 4 Year","3431","14677250"
"2138500","BOCES RENSSELAER SCHOOL OF PN","CASTLETON","NY","Public 2 Year","45","214580"
"1302900","BORICUA COLLEGE","NEW YORK","NY","Private 4 Year","1451","5869264"
"2106800","BRAMSON ORT COLLEGE","FOREST HILLS","NY","Private 2 Year","1168","4454564"
"2075700","BRIARCLIFFE COLLEGE","BETHPAGE","NY","Proprietary 4 Year","1924","7222023"
"928400","BRITTANY BEAUTY SCHOOL","LEVITTOWN","NY","Proprietary 2 Year","436","1383371"
"286200","BROOME COMMUNITY COLLEGE","BINGHAMTON","NY","Public 2 Year","3153","11259478"
"2153600","BROOME-TIOGA BOCES PN PROG","BINGHAMTON","NY","Public 2 Year","42","119551"
"267800","BRYANT & STRATTON COLLEGE","BUFFALO","NY","Proprietary 4 Year","17802","63860536"
