"OPE ID","Institution Name","Institution City","Institution State","Institution Type And Control","Total Awards","Total Recipients"
"2287900","RAPHAEL'S SCHOOL OF BEAUTY CULTURE","NILES","OH","Proprietary - 2 Year","722636","200"
"2101000","NORTHWEST COLLEGE OF HAIR DESIGN","CLACKAMAS","OR","Proprietary - 2 Year","2738910","692"
"2250600","EVEREST COLLEGE","SPRINGFIELD","MO","Proprietary - 4 Year","4899838","1385"
"2079412","EMPIRE BEAUTY SCHOOL - LOWELL","LOWELL","MA","Proprietary - 2 Year","781434","227"
"2090300","CAPRI COLLEGE","CEDAR RAPIDS","IA","Proprietary - 2 Year","540527","147"
"2184200","PAROBA COLLEGE OF COSMETOLOGY","EVERETT","WA","Proprietary - 2 Year","442059","130"
"2244300","ACADEMY OF HAIR DESIGN #1","GRENADA","MS","Proprietary - 2 Year","794400","206"
"2090200","TRIANGLE TECH","ERIE","PA","Proprietary - 2 Year","362265","99"
"2090400","BOONSLICK TECHNICAL EDUCATION CTR","BOONVILLE","MO","Public - 2 Year","59925","13"
"1102600","WARRENSBURG AREA VOC TECH SCH","WARRENSBURG","MO","Public - 2 Year","136655","31"
"2111300","CUYAMACA COLLEGE","EL CAJON","CA","Public - 2 Year","8577042","2638"
"2092100","MASSACHUSETTS SCHOOL OF BARBERING","QUINCY","MA","Proprietary - 2 Year","248365","82"
"2090700","CLEVELAND CHIROPRACTIC COLLEGE","OVERLAND PARK","KS","Private - 4 Year","150489","41"
"2091700","KAPLAN COLLEGE","SAN DIEGO","CA","Proprietary - 2 Year","5292910","1457"
"2195800","LICEO E ARTE Y TECNOLGIA","SAN JUAN","PR","Proprietary - 2 Year","4737329","1153"
"2093600","SOUTHWEST SCHOOL OF ELECTRONIC","AUSTIN","TX","Proprietary - 2 Year","57009","17"
"2119100","MISSION COLLEGE","SANTA CLARA","CA","Public - 2 Year","9320895","2889"
"2100300","MED-ASSIST SCHOOL OF HAWAII","HONOLULU","HI","Proprietary - 2 Year","207890","64"
"2099500","CENTRAL COMMUNITY COLLEGE- GI","GRAND ISLAND","NE","Public - 2 Year","3226202","1106"
"2242900","UNITED TRIBES TECHNICAL COLLEGE","BISMARCK","ND","Private - 4 Year","1687312","447"
"2100200","BROOKHAVEN COLLEGE","FARMERS BRANCH","TX","Public - 2 Year","8757314","2804"
"2177500","RIO SALADO COMMUNITY COLLEGE","TEMPE","AZ","Public - 2 Year","23189201","8527"
"2091200","ELEGANCE INTERNATIONAL","HOLLYWOOD","CA","Proprietary - 2 Year","174278","75"
"2153600","BROOME-TIOGA BOCES PN PROG","BINGHAMTON","NY","Public - 2 Year","112413","40"
"2100400","EVEREST INSTITUTE","GRAND RAPIDS","MI","Proprietary - 2 Year","6170543","1791"
"2093700","LONG ISLAND BUSINESS INSTITUTE","COMMACK","NY","Proprietary - 2 Year","5155916","1331"
"2098400","HERKIMER COUNTY BOCES","HERKIMER","NY","Public - 2 Year","298520","86"
"2100500","UNIVERSAL TECHNICAL INSTITUTE","PHOENIX","AZ","Proprietary - 2 Year","26474651","6815"
